"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2017",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
COUNTY,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,
Alameda,"1,645,359","1,606,221","39,138","596,936","315,396","46,331","65,721","161,630","7,858","572,218",4.1%,2.79,,
Alpine,"1,151","1,127",24,"1,780","1,052",18,45,631,34,494,72.2%,2.32,,
Amador,"38,382","34,457","3,925","18,189","14,905",570,605,690,"1,419","14,471",20.4%,2.41,,
Butte,"226,404","220,915","5,489","98,871","61,689","3,112","8,976","10,855","14,239","89,270",9.7%,2.47,,
Calaveras,"45,168","44,670",498,"27,908","24,256",366,676,392,"2,218","19,007",31.9%,2.37,,
Colusa,"22,043","21,778",265,"8,112","5,992",119,735,477,789,"7,264",10.5%,2.99,,
Contra Costa,"1,139,513","1,128,927","10,586","412,196","274,749","31,870","28,603","69,706","7,268","394,339",4.3%,2.83,,
Del Norte,"27,124","24,543","2,581","11,306","6,879",273,823,797,"2,534","9,777",13.5%,2.46,,
El Dorado,"185,062","183,385","1,677","90,353","74,255","1,390","4,873","5,730","4,105","70,769",21.7%,2.62,,
Fresno,"995,975","978,643","17,332","329,736","222,923","7,464","33,583","50,877","14,889","304,946",7.5%,3.19,,
Glenn,"28,731","28,420",311,"11,130","7,924",213,822,767,"1,404","10,079",9.4%,2.83,,
Humboldt,"136,953","131,421","5,532","62,672","42,483","2,104","6,243","5,710","6,132","56,409",10.0%,2.31,,
Imperial,"188,334","179,023","9,311","57,401","35,580","1,907","4,789","7,462","7,663","50,103",12.7%,3.56,,
Inyo,"18,619","18,185",434,"9,515","5,637",216,602,479,"2,581","8,009",15.8%,2.28,,
Kern,"895,112","862,379","32,733","296,596","211,237","7,385","29,450","25,474","23,050","266,963",10.0%,3.23,,
Kings,"149,537","134,478","15,059","45,408","32,966","2,218","3,814","4,409","2,001","42,506",6.4%,3.17,,
Lake,"64,945","63,800","1,145","34,473","23,353",458,"1,144","1,607","7,911","26,688",22.6%,2.38,,
Lassen,"30,918","23,107","7,811","12,748","9,069",296,309,741,"2,333","9,765",23.4%,2.37,,
Los Angeles,"10,241,278","10,060,037","181,241","3,527,312","1,724,567","231,012","287,088","1,226,379","58,266","3,326,188",5.7%,3.04,,
Madera,"156,492","148,720","7,772","50,125","40,045",659,"3,379","2,614","3,428","44,462",11.3%,3.34,,
Marin,"263,604","255,578","8,026","111,999","68,620","11,309","8,292","21,794","1,984","103,250",7.8%,2.47,,
Mariposa,"18,148","17,426",722,"10,492","7,041",200,529,309,"2,413","7,891",24.8%,2.22,,
Mendocino,"89,134","87,176","1,958","40,894","28,658","1,370","2,521","2,791","5,554","34,300",16.1%,2.52,,
Merced,"274,665","268,242","6,423","85,168","61,699","2,753","7,569","7,523","5,624","80,008",6.1%,3.34,,
Modoc,"9,580","9,274",306,"5,262","3,941",109,119,161,932,"4,085",22.4%,2.28,,
Mono,"13,713","13,378",335,"14,048","5,340",405,"2,690","4,547","1,066","5,901",58.0%,2.28,,
Monterey,"442,365","421,562","20,803","139,821","88,326","8,888","12,550","24,334","5,723","126,528",9.5%,3.30,,
Napa,"142,408","137,474","4,934","55,559","37,932","2,993","4,104","6,731","3,799","50,252",9.6%,2.74,,
Nevada,"98,828","97,649","1,179","53,557","44,345",840,"2,283","2,911","3,178","40,775",23.9%,2.41,,
Orange,"3,194,024","3,142,365","51,659","1,083,563","547,063","129,668","93,319","280,005","33,502","1,030,164",4.9%,3.06,,
Placer,"382,837","378,877","3,960","162,489","126,940","4,206","8,421","18,652","4,270","141,842",12.7%,2.66,,
Plumas,"19,819","19,528",291,"15,814","12,235",393,331,667,"2,188","8,732",44.8%,2.29,,
Riverside,"2,384,783","2,351,123","33,660","834,652","569,146","51,672","38,672","95,700","79,462","717,750",14.0%,3.24,,
Sacramento,"1,514,770","1,492,291","22,479","567,281","366,448","34,774","45,019","106,177","14,863","530,116",6.6%,2.80,,
San Benito,"56,854","56,446",408,"18,510","14,362",739,"1,408","1,150",851,"17,619",4.8%,3.22,,
San Bernardino,"2,160,256","2,122,289","37,967","715,634","508,717","24,898","45,902","92,286","43,831","632,011",11.7%,3.33,,
San Diego,"3,316,192","3,209,893","106,299","1,201,517","616,128","105,536","86,281","347,556","46,016","1,133,723",5.6%,2.83,,
San Francisco,"874,228","848,500","25,728","392,619","65,853","59,605","81,321","185,238",602,"365,755",6.8%,2.34,,
San Joaquin,"746,868","731,753","15,115","241,021","175,763","12,368","14,902","29,301","8,687","228,875",5.0%,3.17,,
San Luis Obispo,"280,101","264,353","15,748","121,049","82,168","6,597","9,179","12,371","10,734","104,878",13.4%,2.52,,
San Mateo,"770,203","760,868","9,335","277,189","156,144","25,356","17,545","74,976","3,168","262,752",5.2%,2.90,,
Santa Barbara,"450,663","431,274","19,389","157,578","91,804","10,491","15,104","32,125","8,054","146,698",6.9%,2.94,,
Santa Clara,"1,938,180","1,907,740","30,440","661,875","349,729","63,322","49,131","180,719","18,974","632,566",4.4%,3.02,,
Santa Cruz,"276,603","262,489","14,114","105,501","66,530","9,485","9,669","12,897","6,920","97,275",7.8%,2.70,,
Shasta,"178,605","175,744","2,861","78,537","54,385","2,739","5,814","6,813","8,786","70,860",9.8%,2.50,,
Sierra,"3,207","3,174",33,"2,344","2,109",28,33,73,101,"1,452",38.1%,2.21,,
Siskiyou,"44,688","44,122",566,"24,088","16,691",572,"1,527","1,718","3,580","19,479",19.1%,2.28,,
Solano,"436,023","424,257","11,766","157,555","112,855","6,799","11,267","22,045","4,589","148,216",5.9%,2.84,,
Sonoma,"505,120","494,711","10,409","208,053","142,151","14,531","13,553","26,374","11,444","191,560",7.9%,2.56,,
Stanislaus,"548,057","541,424","6,633","181,374","135,387","7,487","12,391","17,492","8,617","168,646",7.0%,3.17,,
