"Table 1: E-5 County/State Population and Housing Estimates, 1/1/2014",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,POPULATION,,, HOUSING UNITS,,,,,,,,,,
COUNTY,Total,Household,Group Quarters,Total,Single Detached,Single Attached,Two to Four,Five Plus,Mobile Homes,Occupied,Vacancy Rate,Persons per Household,,
Alameda,"1,588,348","1,548,665","39,683","588,948","312,248","45,256","65,633","157,973","7,838","559,396",5.0%,2.75,,
Alpine,"1,163","1,139",24,"1,774","1,047",18,45,631,33,496,72.0%,2.31,,
Amador,"37,815","34,570","3,245","18,167","14,887",559,612,690,"1,419","14,477",20.3%,2.40,,
Butte,"223,301","217,941","5,360","97,379","60,730","3,080","8,911","10,460","14,198","88,285",9.3%,2.48,,
Calaveras,"45,358","44,861",497,"28,246","24,630",366,670,392,"2,188","19,018",32.7%,2.36,,
Colusa,"21,794","21,540",254,"8,001","5,895",115,739,471,781,"7,169",10.4%,3.00,,
Contra Costa,"1,097,644","1,087,235","10,409","405,828","270,316","31,678","28,583","67,982","7,269","385,688",5.0%,2.80,,
Del Norte,"27,357","24,255","3,102","11,257","6,838",273,823,803,"2,520","9,824",12.7%,2.47,,
El Dorado,"181,977","180,268","1,709","88,950","72,911","1,362","4,864","5,730","4,083","69,749",21.6%,2.60,,
Fresno,"964,757","947,499","17,258","322,489","217,185","7,437","33,360","49,672","14,835","297,291",7.8%,3.18,,
Glenn,"28,497","28,166",331,"10,994","7,853",213,823,718,"1,387","9,963",9.4%,2.83,,
Humboldt,"135,059","129,595","5,464","62,179","42,225","2,073","6,172","5,586","6,123","56,039",9.9%,2.32,,
Imperial,"181,989","173,287","8,702","56,731","35,041","1,907","4,777","7,347","7,659","49,538",12.7%,3.50,,
Inyo,"18,613","18,152",461,"9,499","5,630",216,596,479,"2,578","8,028",15.5%,2.26,,
Kern,"872,123","840,580","31,543","290,706","206,494","7,332","29,054","24,808","23,018","261,171",10.2%,3.22,,
Kings,"149,732","132,879","16,853","44,647","32,360","2,218","3,808","4,278","1,983","41,852",6.3%,3.18,,
Lake,"64,835","63,651","1,184","35,687","24,344",631,"1,167","1,607","7,938","27,273",23.6%,2.30,,
Lassen,"31,993","23,342","8,651","12,738","9,064",296,309,741,"2,328","9,878",22.5%,2.36,,
Los Angeles,"10,089,847","9,908,442","181,405","3,474,222","1,720,794","229,493","284,728","1,180,907","58,300","3,275,667",5.7%,3.02,,
Madera,"153,258","145,088","8,170","49,584","39,520",659,"3,377","2,614","3,414","43,867",11.5%,3.30,,
Marin,"260,554","252,257","8,297","111,656","68,427","11,264","8,238","21,752","1,975","103,050",7.7%,2.45,,
Mariposa,"18,218","17,477",741,"10,386","7,011",163,525,309,"2,378","7,823",24.7%,2.23,,
Mendocino,"88,232","86,262","1,970","40,681","28,469","1,369","2,510","2,791","5,542","34,543",15.1%,2.52,,
Merced,"266,556","260,049","6,507","84,298","61,080","2,594","7,563","7,523","5,538","78,047",7.4%,3.30,,
Modoc,"9,636","9,285",351,"5,241","3,932",109,119,161,920,"4,078",22.2%,2.28,,
Mono,"13,942","13,600",342,"13,992","5,289",405,"2,688","4,547","1,063","5,853",58.2%,2.30,,
Monterey,"429,298","409,228","20,070","138,817","87,723","8,910","12,494","24,005","5,685","125,651",9.5%,3.26,,
Napa,"140,263","135,286","4,977","55,155","37,758","2,922","4,104","6,582","3,789","49,662",10.0%,2.72,,
Nevada,"97,927","96,788","1,139","52,987","43,865",840,"2,234","2,903","3,145","40,656",23.3%,2.40,,
Orange,"3,127,083","3,076,856","50,227","1,062,972","538,872","128,274","92,462","269,824","33,534","1,010,147",5.0%,3.04,,
Placer,"367,442","363,543","3,899","157,117","122,152","4,168","8,416","18,121","4,260","136,651",13.0%,2.66,,
Plumas,"19,893","19,611",282,"15,711","12,146",393,331,667,"2,174","8,714",44.5%,2.29,,
Riverside,"2,291,699","2,258,051","33,648","817,008","555,281","51,204","38,620","92,676","79,227","702,370",14.0%,3.21,,
Sacramento,"1,466,309","1,443,175","23,134","561,460","361,331","34,768","44,942","105,594","14,825","522,144",7.0%,2.76,,
San Benito,"56,219","55,816",403,"18,130","13,988",737,"1,408","1,150",847,"17,176",5.3%,3.24,,
