21%
20%
21%
18%
17%
20%
19%
20%
22%
24%
25%
24%
29%
28%
26%
25%
27%
26%
29%
29%
31%
32%
31%
30%
34%
37%
34%
34%
34%
32%
36%
34%
38%
40%
38%
40%
39%
40%
38%
35%
37%
33%
35%
36%
33%
34%
35%
33%
37%
35%
35%
34%
33%
33%
34%
34%
34%
36%
36%
38%
39%
39%
37%
36%
35%
35%
33%
34%
34%
35%
36%
39%
38%
40%
40%
34%
34%
34%
33%
35%
35%
35%
35%
37%
38%
38%
37%
33%
35%
32%
33%
34%
36%
36%
38%
38%
40%
40%
34%
31%
29%
27%
26%
26%
30%
26%
28%
29%
24%
23%
20%
18%
18%
16%
18%
20%
20%
18%
17%
18%
21%
20%
19%
19%
22%
21%
21%
22%
25%
25%
26%
25%
25%
21%
21%
17%
18%
17%
18%
19%
20%
21%
22%
22%
24%
21%
19%
20%
20%
20%
20%
20%
19%
20%
20%
20%
21%
19%
20%
18%
15%
14%
14%
15%
15%
14%
15%
14%
14%
13%
12%
11%
11%
11%
11%
11%
11%
11%
11%
11%
12%
23%
23%
25%
12%
23%
11%
12%
17%
20%
21%
31%
45%
38%
32%
33%
34%
30%
31%
33%
35%
35%
36%
39%
45%
38%
34%
36%
32%
25%
21%
23%
22%
18%
21%
20%
25%
20%
20%
22%
26%
23%
24%
22%
21%
19%
20%
20%
