County	Sector	2016	2015	2014	2013	2012	2011	2010	2009	2008	2007	2006	2005	2004	2003	2002	2001	2000	1999	1998	1997	1996	1995	1994	1993	1992	1991	1990	Total Usage
NEVADA	Residential	12.8953	11.674342	11.311529	13.163587	12.550058	14.141069	13.247245	12.758414	13.071993	12.442316	5.984929	5.904068	6.13724	6.050903	6.172536	5.825579	6.191007	6.332815	6.489629	5.136862	4.863043	4.738908	5.174772	4.97419	4.172576	4.306807	3.826668	219.538385
ORANGE	Residential	337.827012	316.917643	319.182227	397.971459	381.525327	407.680573	404.664818	386.279255	396.043776	401.224534	397.224804	387.081232	416.014542	392.302678	417.174665	422.554634	426.274734	478.499821	450.326469	396.614652	403.726927	397.460559	430.513427	414.373342	423.464433	433.331634	431.893804	10868.14898
PLACER	Residential	57.076916	53.368119	50.983037	62.014349	59.852205	65.145637	61.627361	60.330452	59.431686	79.019897	81.892196	74.427479	69.232328	66.084381	66.386803	61.991019	56.901849	39.740212	36.556419	29.79127	28.562757	26.401474	37.24368	35.863827	30.667723	32.389274	31.528075	1414.510425
RIVERSIDE	Residential	252.68832	224.847393	207.34392	253.347543	242.957284	269.219174	267.215375	257.963404	272.664673	266.215028	263.561182	256.830858	276.028293	260.295321	276.798042	280.367686	231.789232	245.426167	243.030405	209.360635	204.664087	205.959932	223.087621	217.086186	212.56101	217.513961	207.699271	6546.522003
SACRAMENTO	Residential	182.469741	176.522484	172.920651	209.649351	204.645176	220.407313	210.61836	211.280907	206.653254	208.381584	206.504925	203.714886	211.760309	208.781301	212.978171	201.006688	207.91672	226.755065	218.663211	189.402335	189.603286	187.791786	207.57248	205.746482	188.439699	204.645671	194.414105	5469.245941
SAN BENITO	Residential	5.900141	5.773879	5.520497	6.900597	6.636292	6.829514	6.756166	6.63106	6.729063	6.693379	6.633099	6.543481	6.801907	6.706218	6.841025	6.456492	7.174264	7.726998	6.95745	5.776373	5.493299	5.198282	5.94874	5.433239	4.893723	5.405677	5.016936	169.377791
SAN BERNARDINO	Residential	234.628694	223.939132	213.697183	262.938708	249.449762	271.015054	268.952455	256.151352	259.203545	261.618048	261.628113	254.438059	274.985393	251.359374	260.667104	262.343108	259.37593	218.832766	225.164314	193.457968	192.185656	194.538954	265.271779	270.714684	266.373666	264.714356	268.320412	6685.965569
SAN DIEGO	Residential	268.989959	255.632102	256.576175	318.306133	311.180545	326.950605	337.913994	308.747489	324.692766	331.933074	345.407561	335.165037	357.561834	339.788853	357.118566	358.484528	340.24	336.396742	323.967176	311.53761	317.043317	316.193149	343.816395	327.053252	313.662931	335.282095	337.914904	8737.556792
SAN FRANCISCO	Residential	129.699269	121.867449	123.893148	149.956187	149.971626	153.271301	153.150216	152.136446	155.295302	149.712563	148.36427	146.359756	152.140021	149.999741	153.014999	144.41404	167.285339	187.057292	172.397128	155.948393	160.911587	161.678399	177.078313	167.620849	159.255637	184.027844	180.513222	4207.020337
SAN JOAQUIN	Residential	79.781899	79.106618	77.098083	92.760976	90.497135	97.91501	93.083709	92.020826	90.908498	92.220734	91.390205	90.155454	93.716012	92.397631	94.254986	88.956922	89.170693	97.98787	92.994284	80.242607	79.395432	77.259512	88.593089	85.693401	79.025715	85.167254	84.892672	2376.687227
SAN LUIS OBISPO	Residential	34.939022	32.361262	32.755093	40.847067	39.996302	41.236394	40.525638	39.781484	40.086958	41.005818	40.59718	39.562237	42.514348	40.097537	42.633348	43.172781	38.22499	42.164225	39.312484	33.235019	33.584529	32.810402	35.546039	33.274078	34.855707	35.670203	33.836581	1024.626726
SAN MATEO	Residential	108.851037	105.431449	105.403124	131.944558	130.041201	135.392178	132.530722	132.070338	136.422816	130.210072	129.037416	127.294022	132.321314	130.459841	133.082312	125.601767	151.473964	171.207759	157.57048	138.465828	137.586933	137.991025	156.598003	147.135338	134.505703	155.33342	151.428045	3665.390665
SANTA BARBARA	Residential	53.311452	49.660443	50.768983	64.324758	62.634116	65.888374	65.881014	64.060114	64.583269	64.948731	64.30127	62.659266	67.342883	63.504495	67.530679	68.401568	67.724082	73.965563	70.755079	62.119153	66.872142	60.206813	65.213616	66.554364	64.007265	65.498707	64.070312	1726.788511
SANTA CLARA	Residential	218.040862	215.553886	213.707978	265.344829	257.391193	271.397613	259.963474	264.1693	268.636399	262.298609	259.868357	242.536753	265.702785	264.25388	263.751114	251.367549	293.763807	328.961462	311.121748	271.979656	266.018774	267.668985	305.185565	294.592921	270.866827	298.292881	291.452277	7243.889484
SANTA CRUZ	Residential	30.601362	29.390029	29.086956	36.513569	36.01706	37.220717	36.578802	36.178744	36.662417	35.835324	35.512596	35.032794	36.416363	35.904064	36.625798	34.567065	39.878147	44.911088	40.927991	35.75875	36.323118	35.442199	41.123177	39.587379	35.78907	39.773254	37.745625	985.403458
SHASTA	Residential	17.428755	15.747954	15.88541	19.201589	19.437344	20.617199	20.240903	19.314924	20.38397	19.461209	19.285944	19.025376	19.776756	19.49854	19.890494	18.772451	19.532343	20.957488	20.709113	17.431611	17.775729	17.170784	17.876402	18.438087	15.453418	15.740743	14.254024	499.30856
SOLANO	Residential	53.461126	51.421161	50.10469	61.296785	60.396233	65.700384	62.429073	61.394958	61.720797	61.209585	60.658339	59.838799	62.202045	61.326998	62.559778	59.043298	65.714693	73.159518	68.305172	57.623307	57.573916	57.72418	65.868277	64.501815	57.457452	63.373574	61.976884	1648.042837
SONOMA	Residential	66.553304	63.323532	63.747767	78.441783	76.332354	80.358746	77.719943	77.930384	79.022067	77.071063	76.376971	75.34506	78.320703	77.218901	78.771136	74.343418	83.591204	92.392703	85.938137	73.011664	72.049369	72.314084	84.207769	81.650494	73.803038	79.247319	75.751323	2074.834236
STANISLAUS	Residential	56.845547	56.834968	55.15379	66.598992	64.838644	69.601388	66.370197	66.377219	66.27918	66.192616	65.596494	64.710235	67.265872	66.319587	67.652727	63.849973	67.951419	75.719452	72.092305	61.776454	61.153092	59.83379	68.665819	65.004197	60.424042	65.182563	63.505677	1751.796239
SUTTER	Residential	11.328303	10.859474	10.922286	13.00367	12.863914	13.898588	13.093864	13.296967	13.433358	13.093623	12.975703	12.800392	13.305925	13.118739	13.382449	12.630223	13.184658	14.562313	13.870429	11.950506	12.080483	11.951045	13.053335	12.703492	11.36195	12.225374	11.812282	342.763345
TEHAMA	Residential	3.751751	3.497854	3.518027	4.242007	4.209466	4.460629	4.388176	4.2262	4.304555	4.241742	4.203542	4.146749	4.310518	4.249879	4.335309	4.091621	4.651043	5.1619	5.012739	4.31324	4.379672	4.322757	4.609451	4.802685	4.381182	4.529387	4.315549	116.65763
TRINITY	Residential	0.020782	0.017286	0.018321	0.020439	0.021088	0.022221	0.02142	0.020204	0.021156	0.020965	0.020776	0.020495	0.021305	0.021005	0.021427	0.020223	0.022928	0.025722	0.025112	0.021707	0.021977	0.020966	0.024579	0.02577	0.019955	0.020642	0.019117	0.577588
TULARE	Residential	46.531542	46.593639	44.841958	53.165881	52.469112	56.915457	55.065397	55.224816	54.037778	55.841368	55.284696	53.872941	57.899802	54.599648	58.061265	58.810035	50.907747	56.909745	54.611391	47.469125	48.042609	48.20052	52.208991	49.237105	49.549715	50.704293	51.111163	1418.167739
VENTURA	Residential	100.838883	94.002203	93.507905	117.509318	113.995702	124.344854	122.784824	118.53565	120.231526	120.494253	119.293069	116.24679	124.935933	117.814875	125.284337	126.900029	126.43088	134.830206	133.795381	114.554725	114.526257	111.77263	121.067655	116.366888	117.895512	120.642626	117.459111	3186.062022
YOLO	Residential	23.198454	22.367782	21.963129	26.93357	26.265628	28.374275	27.190038	26.988585	26.843801	26.723328	26.482661	26.12486	27.156623	26.774588	27.312805	25.777554	26.525296	28.392873	27.138928	23.79036	23.36633	23.339873	26.250949	25.899981	24.021365	25.316794	24.679055	695.199485
YUBA	Residential	6.678908	6.322209	6.398862	7.653199	7.523781	8.08707	7.711784	7.732839	7.473039	7.610095	7.541559	7.439667	7.733486	7.624692	7.777962	7.340764	7.070292	7.708791	7.489106	6.668784	6.787839	6.683483	7.565513	7.548215	6.95101	7.496285	7.439773	198.059007
